X	Y
6.81	68.1
11.84	118.4
71.29	712.9
71.00	710
68.70	687
82.16	821.6
52.84	528.4
95.29	952.9
29.74	297.4
79.55	795.5
38.32	383.2
43.57	435.7
18.50	185
34.89	348.9
86.05	860.5
48.50	485
55.28	552.8
81.64	816.4
99.74	997.4
6.70	67
78.40	784
24.01	240.1
23.52	235.2
45.02	450.2
3.10	31
32.68	326.8
6.87	68.7
75.41	754.1
74.07	740.7
63.69	636.9
63.47	634.7
87.59	875.9
24.08	240.8
84.23	842.3
48.98	489.8
95.58	955.8
1.31	13.1
47.00	470
14.36	143.6
47.74	477.4
-2.51	-25.1
14.79	147.9
48.94	489.4
90.40	904
66.74	667.4
69.35	693.5
23.81	238.1
65.28	652.8
78.15	781.5
29.75	297.5
85.63	856.3
84.07	840.7
55.87	558.7
-3.26	-32.6
78.50	785
14.43	144.3
56.82	568.2
85.50	855
7.46	74.6
82.20	822
70.73	707.3
93.39	933.9
-3.05	-30.5
59.53	595.3
36.86	368.6
45.77	457.7
0.26	2.6
61.90	619
59.13	591.3
5.39	53.9
92.79	927.9
99.70	997
44.31	443.1
8.89	88.9
53.44	534.4
21.97	219.7
26.95	269.5
32.88	328.8
21.34	213.4
17.05	170.5
-0.98	-9.8
57.64	576.4
71.68	716.8
97.52	975.2
24.54	245.4
27.12	271.2
88.15	881.5
94.97	949.7
38.07	380.7
67.89	678.9
16.37	163.7
7.60	76
14.66	146.6
-3.35	-33.5
27.75	277.5
11.91	119.1
-4.80	-48
50.43	504.3
-2.67	-26.7
68.28	682.8
88.31	883.1
49.33	493.3
0.47	4.7
61.51	615.1
4.49	44.9
70.96	709.6
87.27	872.7
54.28	542.8
73.40	734
20.53	205.3
83.57	835.7
46.08	460.8
85.04	850.4
59.56	595.6
27.20	272
55.03	550.3
47.51	475.1
27.24	272.4
42.39	423.9
13.77	137.7
42.83	428.3
56.66	566.6
9.10	91
10.92	109.2
10.03	100.3
95.97	959.7
45.61	456.1
96.74	967.4
63.00	630
51.92	519.2
36.19	361.9
64.29	642.9
44.94	449.4
80.31	803.1
18.90	189
40.59	405.9
26.87	268.7
30.79	307.9
49.22	492.2
46.30	463
30.98	309.8
1.84	18.4
55.50	555
14.68	146.8
59.34	593.4
79.04	790.4
3.99	39.9
33.95	339.5
8.74	87.4
47.39	473.9
58.50	585
91.28	912.8
10.80	108
99.15	991.5
35.41	354.1
52.81	528.1
18.91	189.1
86.80	868
41.98	419.8
91.23	912.3
39.66	396.6
40.80	408
-1.99	-19.9
81.44	814.4
81.73	817.3
44.90	449
62.37	623.7
60.95	609.5
57.47	574.7
19.81	198.1
30.97	309.7
2.04	20.4
40.23	402.3
30.98	309.8
85.19	851.9
58.31	583.1
65.13	651.3
20.98	209.8
92.32	923.2
61.75	617.5
61.49	614.9
73.16	731.6
85.60	856
7.05	70.5
