x1	x2	x3		Y
95.71	76.75	30.74		2646.9
28.34	2.58	59.42		1362.55
38.32	18.45	50.87		1550.775
37.50	50.43	42.91		1882.975
5.74	65.05	43.23		1790.275
37.49	79.80	46.67		2389.225
-2.41	13.80	86.25		1692.875
48.51	53.58	64.91		2425.325
6.60	95.29	17.30		1798.7
76.07	38.40	43.61		2100.475
15.00	11.10	27.83		804.125
49.00	8.21	17.46		919.3
43.71	19.79	1.38		758.7
79.90	52.52	14.30		1837.65
20.65	35.51	98.44		2462.45
89.33	0.77	90.35		2486.575
57.64	36.05	93.18		2748.4
54.80	7.57	91.42		2262
99.74	78.50	98.00		3890.5
68.74	36.81	65.37		2384.125
78.68	45.99	40.15		2179.875
72.53	24.20	64.13		2211.175
49.26	-3.88	17.77		745.975
15.99	50.39	74.71		2223.775
77.08	97.58	56.34		3221.05
70.81	37.06	4.35		1340.725
39.55	94.76	51.77		2723.475
92.92	29.96	65.00		2516.7
79.12	89.44	75.04		3446.6
39.26	15.35	39.45		1313.825
29.14	-0.69	50.02		1157
77.92	60.47	74.72		2994.45
67.11	74.03	46.69		2599.225
61.11	36.79	66.05		2319.425
90.35	75.45	34.82		2645.2
81.70	95.37	70.70		3485.4
9.41	98.77	51.59		2479.075
69.27	47.82	29.32		1923.7
43.96	93.24	19.38		2177.95
0.33	97.22	35.87		2089.925
13.23	16.49	23.10		784.5
70.18	82.71	65.21		3084.225
39.07	96.12	60.87		2898.325
97.78	-2.35	17.98		1257.8
13.88	76.74	28.29		1785.575
35.38	99.98	69.79		3075.425
78.23	70.34	87.86		3375.55
23.41	40.23	92.71		2460.575
57.37	36.94	26.16		1586.2
21.89	-2.07	54.20		1136.95
97.47	84.59	17.43		2549.175
15.61	65.94	40.57		1855.775
77.38	79.87	99.01		3705.125
85.45	24.15	78.65		2593.725
-1.47	97.09	53.55		2379.375
25.83	77.63	67.69		2607.925
79.35	24.88	96.39		2854.125
46.41	58.33	56.67		2331.375
63.58	28.72	89.28		2629.6
53.59	61.49	76.86		2803.9
22.84	78.03	98.30		3119.7
13.37	34.74	79.67		2049.625
68.20	94.36	80.27		3502.725
1.17	54.79	59.85		1881.525
28.92	90.69	44.28		2425.05
62.02	24.18	84.31		2458.925
14.16	84.58	9.85		1583.275
73.06	80.99	13.04		2174.25
56.15	62.59	60.58		2561.1
15.30	23.49	5.69		605.525
18.14	80.88	57.72		2405.3
80.73	19.19	22.00		1480.75
35.95	56.49	7.40		1336.95
47.10	87.35	76.49		3120.425
70.54	27.20	75.52		2435.6
62.87	83.82	13.44		2121.8
44.61	78.38	29.17		2132.875
67.79	24.24	98.80		2771.1
78.80	51.44	78.96		2942
61.11	8.48	67.45		1919.275
80.95	83.80	94.95		3728.725
53.55	-1.23	10.76		705.95
41.03	93.65	10.43		1998.175
6.14	18.42	6.10		445.05
66.35	-2.24	32.72		1203.1
70.21	76.98	29.51		2373.825
12.27	75.53	70.52		2490.35
35.43	35.68	78.30		2260.35
7.53	99.42	76.91		2913.125
50.10	31.44	54.05		1919.075
-3.90	18.24	24.94		671.65
71.43	72.07	44.85		2580.825
67.62	97.46	69.57		3356.175
29.38	37.87	92.89		2488.025
75.85	72.15	13.00		2068.85
67.71	5.94	33.41		1351.475
23.06	71.84	26.58		1773.95
2.94	53.10	20.50		1185.25
91.08	72.30	95.22		3662.25
53.56	13.16	61.32		1806.7
64.18	49.04	47.05		2201.375
55.70	31.72	38.23		1702.425
24.49	82.07	58.84		2506.25
44.67	94.97	56.56		2861.65
21.14	39.01	39.99		1496.975
65.95	4.89	67.96		1922.75
10.17	26.32	38.75		1175.225
53.04	1.23	40.72		1262.05
70.55	76.89	54.60		2814.95
45.27	7.60	56.75		1560.425
38.75	88.18	13.85		1953.175
80.29	11.60	28.96		1484.3
-0.94	48.76	51.09		1616.675
46.16	75.31	54.16		2539.65
98.26	53.02	52.93		2704.775
79.05	40.54	92.12		3011.3
0.62	80.59	49.05		2074.025
73.97	98.89	75.27		3540.875
90.21	76.54	48.47		2899.025
85.98	38.31	75.03		2748.075
42.34	21.74	87.72		2285.2
5.73	75.42	98.34		2910.15
88.81	21.04	-0.69		1192.225
0.04	92.74	41.93		2125.875
-1.20	19.04	-1.03		256.175
30.71	13.67	96.24		2196.95
33.45	-3.10	9.70		458.35
31.12	66.38	72.35		2573.625
88.02	80.20	98.77		3812.275
93.62	67.34	98.97		3678.875
-3.55	28.68	99.43		2135.325
94.59	45.91	68.77		2838.625
66.14	99.20	82.50		3593.75
45.79	47.97	6.38		1289.7
65.41	10.81	59.69		1861.425
10.05	1.77	8.16		270.45
