X, Y
17.79, 119638.35
49.10, 330198.1
16.26, 109349.1
12.10, 81373.1
97.92, 658512.6
75.64, 508679.6
41.91, 281845.35
-4.86, -32682.9
85.21, 573037.85
12.14, 81642.1
62.05, 417286.85
76.84, 516749.6
78.17, 525693.85
94.30, 634168.1
19.37, 130263.85
46.37, 311838.85
51.45, 346001.85
22.75, 152994.35
33.24, 223539.6
75.15, 505384.35
20.65, 138871.85
69.19, 465303.35
71.31, 479560.35
26.12, 175657.6
40.99, 275658.35
22.03, 148152.35
9.73, 65434.85
74.42, 500475.1
99.72, 670617.6
20.55, 138199.35
92.87, 624551.35
36.15, 243109.35
57.09, 383930.85
96.19, 646878.35
76.16, 512176.6
8.29, 55750.85
51.72, 347817.6
21.85, 146941.85
-0.65, -4370.65
75.29, 506325.85
21.45, 144251.85
60.49, 406795.85
6.77, 45528.85
10.03, 67452.35
18.18, 122261.1
2.26, 15199.1
59.47, 399936.35
39.74, 267252.1
97.82, 657840.1
36.47, 245261.35
83.04, 558444.6
32.61, 219302.85
85.04, 571894.6
49.85, 335241.85
77.26, 519574.1
26.03, 175052.35
40.60, 273035.6
77.26, 519574.1
74.67, 502156.35
92.59, 622668.35
92.07, 619171.35
2.71, 18225.35
30.21, 203162.85
40.17, 270143.85
92.89, 624685.85
23.45, 157701.85
-2.58, -17349.9
74.95, 504039.35
65.57, 440958.85
68.77, 462478.85
86.26, 580099.1
33.80, 227305.6
37.05, 249161.85
3.16, 21251.6
99.51, 669205.35
7.52, 50572.6
99.29, 667725.85
26.04, 175119.6
64.26, 432149.1
56.47, 379761.35
79.01, 531342.85
80.09, 538605.85
89.72, 603367.6
94.54, 635782.1
31.44, 211434.6
92.06, 619104.1
24.09, 162005.85
18.52, 124547.6
59.25, 398456.85
26.62, 179020.1
68.03, 457502.35
31.45, 211501.85
82.03, 551652.35
-0.56, -3765.4
43.78, 294421.1
71.38, 480031.1
21.47, 144386.35
36.54, 245732.1
82.49, 554745.85
54.49, 366445.85
26.46, 177944.1
67.48, 453803.6
90.34, 607537.1
43.19, 290453.35
